Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Year of Launch_1974,Year of Launch_1978,Year of Launch_1988,Year of Launch_1989,Year of Launch_1990,Year of Launch_1991,Year of Launch_1992,Year of Launch_1993,Year of Launch_1994,Year of Launch_1995,Year of Launch_1996,Year of Launch_1997,Year of Launch_1998,Year of Launch_1999,Year of Launch_2000,Year of Launch_2001,Year of Launch_2002,Year of Launch_2003,Year of Launch_2004,Year of Launch_2005,Year of Launch_2006,Year of Launch_2007,Year of Launch_2008,Year of Launch_2009,Year of Launch_2010,Year of Launch_2011,Year of Launch_2012,Year of Launch_2013,Year of Launch_2014,Year of Launch_2015,Year of Launch_2016
AAUSat-4,NR,University of Aalborg,Denmark,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,442.0,687.0,0.0177,98.2,95.9,1,,,2016-04-25,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ABS-2,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,75.0,35778.0,35793.0,0.000178,0.08,1436.03,6330,,16000,2014-02-06,15,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ABS-2A,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,-75.0,35700.0,35700.0,0.0,0.0,1436.1,1800,,,2016-06-15,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ABS-3,Philippines,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,146.06,35769.0,35802.0,0.000391,0.05,1436.07,3775,1800,9000,1997-08-19,15,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABS-3A,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,-3.0,35788.0,35803.0,0.000178,0.1,1436,2000,,,2015-03-02,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ABS-4,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,75.0,35780.0,35793.0,0.000154,0.01,1436.1,4143,1700,7400,2004-03-13,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ABS-6,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,159.0,35777.0,35794.0,0.000202,0.01,1436.08,2894,1730,"6,800 (EOL)",1999-09-26,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABS-7,South Korea,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,116.18,35780.0,35791.0,0.00013,0.01,1436.06,3500,1800,4800,1999-09-04,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
USA 139,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,-14.5,35560.0,36013.0,0.00537,7.72,1436.14,4500,,,1998-05-09,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
USA 171,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,95.4,35589.0,35984.0,0.00468,3.2,1436.1,4500,,,2003-09-09,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
USA 202,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,44.0,35714.0,35937.0,0.00264,2.89,1438.8,5000,,,2009-01-18,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
USA 223,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,100.9,35500.0,35500.0,0.0,0.0,,5000,,,2010-11-21,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
USA 237,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,60.0,35771.0,35805.0,0.000403,0.0,23.94,5000,,,2012-06-29,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
USA 268,NR,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,103.0,35613.0,35903.0,0.00344,7.51,1437.19,5000,,,2016-06-11,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
USA 235,USA,US Air Force,USA,Military,Communications,,GEO,,-120.0,35772.0,35801.0,0.000344,2.34,1436.1,6169,,,2012-05-03,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
USA 246,NR,US Air Force,USA,Military,Communications,,GEO,,,35700.0,35803.0,0.00122,4.2,1436.1,6169,,,2013-09-18,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Aeneas,USA,Department of Homeland Security,USA,Government,Technology Development,,LEO,Equatorial,0.0,480.0,790.0,0.0221,0.02,97.4,3,,,2012-09-13,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Aerocube 4.5A,USA,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,495.0,791.0,0.0211,64.6,97.5,5,,,2012-09-13,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Aerocube 4.5B,USA,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,499.0,792.0,0.0209,64.6,97.6,5,,,2012-09-13,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Aerocube 5A,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Polar,0.0,443.0,886.0,0.0315,120.3,98,5,,,2013-12-06,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Aerocube 5B,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Polar,0.0,443.0,886.0,0.0315,120.3,98,5,,,2013-12-06,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072E,39466.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Aerocube 5C,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,500.0,802.0,0.0215,64.78,97.74,2,,,2015-10-08,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aerocube 6A,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,614.0,700.0,0.00612,97.98,97.88,5,,,2014-06-19,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Aerocube 6B,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,614.0,700.0,0.00612,97.98,97.88,5,,,2014-06-19,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Aerocube 7A,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,500.0,802.0,0.0215,64.6,97.4,2,,,2015-10-08,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aerocube 8A,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,356.0,700.0,0.0249,55.0,95.19,5,,,2015-05-20,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aerocube 8B,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,356.0,700.0,0.0249,55.0,95.19,5,,,2015-05-20,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Eutelsat 28B,France,European Telecommunications Satellite Consortium (EUTELSAT),Multinational,Commercial,Communications,,GEO,,48.0,35764.0,35808.0,0.000522,0.12,1436.08,3460,1555,7000,2008-12-20,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Afristar ,USA,1Worldspace,USA,Commercial,Communications,,GEO,,20.97,35770.0,35802.0,0.00038,0.03,1436.09,2704,1530,5500,1998-10-28,15,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AIM,USA,"Center for Atmospheric Sciences, Hampton University/NASA",USA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,544.0,552.0,0.000578,97.9,96.2,215,197,216,2007-04-25,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
AISat-1,Germany,German Aerospace Center (DLR),Germany,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,643.0,660.0,0.00121,98.25,97.76,14,,,2014-06-30,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Center,PSLV-CA,2014-034B,40054.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
AISSat-1,Norway,Norwegian Coastal Admnistration,Norway,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,615.0,632.0,0.00122,98.0,97.2,6,,,2010-07-12,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Center,PSLV,2010-035C,36797.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
AISSat-2,Norway,Norwegian Coastal Admnistration,Norway,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,625.0,631.0,0.000429,98.4,97.27,6,,,2014-07-08,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
AIST-1,Russia,"Samara State Aerospace University, SGAU",Russia,Civil,Technology Development,,LEO,Polar,0.0,599.0,626.0,0.00193,82.4,96.9,,,,2013-12-28,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
AIST-2,Russia,"Samara State Aerospace University, SGAU",Russia,Civil,Technology Development,,LEO,Non-Polar Inclined,0.0,558.0,582.0,0.00173,64.88,96.06,53,,,2013-04-19,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
AIST-2D,NR,Samara State Aerospace University,Russia,Civil,Technology Development,,LEO,Sun-Synchronous,0.0,471.0,486.0,0.0011,97.28,94.18,531,,,2016-04-27,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ALiCE,NR,US Air Force Institute of Technology,USA,Military,Technology Development,,LEO,Polar,0.0,443.0,886.0,0.0315,120.3,98,5,,,2013-12-06,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Alphasat I-XL,United Kingdom,"INMARSAT, Ltd./European Space Agency",United Kingdom/ESA,Commercial/Government,Communications/Technology Development,,GEO,,25.0,35786.0,35787.0,1.19e-05,0.02,1436.09,6650,3370,12000,2013-07-25,15,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Alsat-2A,Algeria,Centre National des Techniques Spatiales (CNTS),Algeria,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,672.0,674.0,0.000142,98.1,98.2,130,,,2010-07-12,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Center,PSLV,2010-035D,36798.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Amazonas-1,Brazil,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,,GEO,,-61.02,35776.0,35797.0,0.000249,0.04,1436.1,4545,2000,"9,500 (EOL)",2004-08-04,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2004-031A,28393.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Amazonas-2,Brazil,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,,GEO,,-61.0,35767.0,35805.0,0.000451,0.03,1436.08,5465,,15300,2009-10-01,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Amazonas-3,Brazil,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,,GEO,,-61.0,35781.0,35791.0,0.000119,0.03,1436.05,6265,2778,14000,2013-02-07,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Amazonas-4A,NR,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,,GEO,,-61.0,35784.0,35795.0,0.00013,0.08,1436.24,2938,,,2014-03-22,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
AMC-1,USA,SES (Société Européenne des Satellites (SES)),USA,Commercial,Communications,,GEO,,-103.02,35772.0,35800.0,0.000332,0.03,1436.1,2783,1600,"6,500 (EOL)",1996-09-08,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMC-10,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-134.97,35775.0,35797.0,0.000261,0.01,1436.09,2315,907,"6,500 (EOL)",2004-02-05,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
AMC-11,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-130.93,35774.0,35797.0,0.000273,0.04,1436.07,2340,"2,316 (BOL)","6,500 (EOL)",2004-05-19,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
AMC-15,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-105.04,35777.0,35795.0,0.000213,0.04,1436.08,4200,,,2004-10-14,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
AMC-16,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-84.98,35780.0,35793.0,0.000154,0.02,1436.1,4312,,,2004-12-17,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
AMC-18,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-104.97,35773.0,35800.0,0.00032,0.06,1436.1,2081,918,,2006-12-08,15,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
AMC-2,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-100.98,35774.0,35798.0,0.000285,0.05,1436.1,2648,1600,"6,500 (EOL)",1997-01-30,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMC-21,United Kingdom,SES World Skies,USA,Commercial,Communications,,GEO,,-124.86,35778.0,35793.0,0.000178,3.0,1436.1,2500,,5000,2008-08-14,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
AMC-3,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-86.96,35777.0,35795.0,0.000213,0.02,1436.08,2845,1600,"6,500 (EOL)",1997-09-04,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMC-4,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-100.99,35781.0,35791.0,0.000119,0.01,1436.1,3909,2500,,1999-11-13,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMC-6,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-71.98,35778.0,35795.0,0.000202,0.05,1436.12,3901,2500,,2000-10-22,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMC-7,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-136.94,35773.0,35798.0,0.000297,0.01,1436.08,1935,912,"6,500 (EOL)",2000-09-14,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMC-8,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-139.0,35773.0,35798.0,0.000297,0.03,1436.07,2015,919,3300,2000-12-19,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMC-9,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-82.95,35773.0,35798.0,0.000297,0.05,1436.08,4100,2000,10000,2003-06-07,15,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton K,2003-024A,27820.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Amos 2,NR,Israel Aircraft Industries,Israel,Military/Commercial,Communications,,GEO,,-3.98,35778.0,35794.0,0.00019,0.05,1436.08,1400,646,"1,900 (EOL)",2003-12-27,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Amos 3,NR,Space-Communication Ltd,Israel,Military/Commercial,Communications,,GEO,,-3.99,35783.0,35789.0,7.12e-05,0.04,1436.1,,,,2008-04-28,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Amos 4,NR,Space-Communication Ltd,Israel,Military/Commercial,Communications,,GEO,,65.0,35633.0,35796.0,0.00194,0.01,1432,,,,2013-08-31,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Amos 5,NR,Space-Communication Ltd,Israel,Military/Commercial,Communications,,GEO,,17.0,35595.0,36007.0,0.00488,0.09,1436.08,1600,,,2011-12-11,15,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2011-074A,37950.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Amsat-Oscar 7,USA,Amsat-NA,USA,Civil,Communications,,LEO,Polar,0.0,1440.0,1459.0,0.00121,101.4,114.9,29,,,1974-11-15,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-107.27,35778.0,35793.0,0.000178,0.02,1436.08,4710,2950,"15,500 (EOL)",2000-11-21,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-107.3,35777.0,35795.0,0.000213,0.02,1436.1,4500,,10000,2005-09-09,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-111.07,35781.0,35790.0,0.000107,0.01,1436.08,5910,3805,16000,2004-07-18,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-118.69,35778.0,35794.0,0.00019,0.01,1436.1,4715,,17500,2007-04-09,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Anik G1,NR,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-107.3,35773.0,35799.0,0.000308,0.01,1436.08,4905,,17500,2013-04-15,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
