Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Year of Launch_1974,Year of Launch_1978,Year of Launch_1988,Year of Launch_1989,Year of Launch_1990,Year of Launch_1991,Year of Launch_1992,Year of Launch_1993,Year of Launch_1994,Year of Launch_1995,Year of Launch_1996,Year of Launch_1997,Year of Launch_1998,Year of Launch_1999,Year of Launch_2000,Year of Launch_2001,Year of Launch_2002,Year of Launch_2003,Year of Launch_2004,Year of Launch_2005,Year of Launch_2006,Year of Launch_2007,Year of Launch_2008,Year of Launch_2009,Year of Launch_2010,Year of Launch_2011,Year of Launch_2012,Year of Launch_2013,Year of Launch_2014,Year of Launch_2015,Year of Launch_2016
Cosmos 2438,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1477.0,1509.0,0.00203,82.5,115.8,280,,300,2008-05-23,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025C,32955.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cosmos 2439,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1478.0,1510.0,0.00203,82.5,115.8,280,,300,2008-05-23,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025D,32956.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cosmos 2451,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1498.0,1509.0,0.000699,82.5,116,280,,300,2009-07-06,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2009-036A,35498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Cosmos 2453,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1495.0,1506.0,0.000699,82.5,116,280,,300,2009-07-06,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2009-036C,35500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Cosmos 2467,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1493.0,1496.0,0.000191,82.5,115.9,225,,,2010-09-08,3,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2010-043A,37152.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Cosmos 2468,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1484.0,1505.0,0.00134,82.5,115.9,225,,,2010-09-08,3,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2010-043C,37154.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Cosmos 2481,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1481.0,1512.0,0.00197,82.5,115.9,280,,300,2012-07-28,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2012-041A,38733.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cosmos 2482,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1473.0,1516.0,0.00273,82.5,115.86,250,,300,2013-01-15,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001A,39057.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Cosmos 2483,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1473.0,1516.0,0.00273,82.5,115.86,250,,300,2013-01-15,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001B,39058.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Cosmos 2484,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1475.0,1514.0,0.00248,82.5,115.86,250,,300,2013-01-15,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001C,39059.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
